"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
156,COMBUSTION THEORY AND MODELLING,"1,460",1.654,0.001390,0.500
157,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,"6,809",1.653,0.005700,0.354
158,JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,"5,264",1.648,0.002680,0.390
159,INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,447,1.633,0.000620,0.296
160,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"7,050",1.631,0.007510,0.886
161,Navigation-Journal of the Institute of Navigation,650,1.629,0.000880,0.474
162,SHOCK AND VIBRATION,"2,965",1.628,0.006000,0.346
163,ENVIRONMENTAL FLUID MECHANICS,"1,027",1.605,0.001880,0.527
164,ACTA MECHANICA SINICA,"1,822",1.598,0.002470,0.402
165,ARCHIVE OF APPLIED MECHANICS,"2,599",1.578,0.003430,0.422
166,WAVE MOTION,"2,286",1.576,0.004230,0.628
167,PROGRESS IN NUCLEAR ENERGY,"3,307",1.569,0.007260,0.543
168,Computational Particle Mechanics,369,1.566,0.001480,0.861
169,COMBUSTION SCIENCE AND TECHNOLOGY,"5,104",1.564,0.003260,0.432
170,HEAT AND MASS TRANSFER,"4,532",1.551,0.004140,0.312
170,Physical Mesomechanics,567,1.551,0.000660,0.234
172,Nuclear Engineering and Technology,"1,692",1.546,0.004620,0.571
173,ARCHIVES OF MECHANICS,641,1.543,0.000600,0.371
174,NUCLEAR ENGINEERING AND DESIGN,"12,563",1.541,0.014400,0.450
174,Thermal Science,"2,798",1.541,0.003650,0.187
176,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,"2,040",1.540,0.002050,0.357
177,GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,954,1.533,0.001300,0.717
178,Journal of Mathematical Fluid Mechanics,820,1.532,0.002570,0.960
179,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,"1,537",1.523,0.001940,0.264
180,ACTA MECHANICA SOLIDA SINICA,"1,110",1.508,0.001390,0.344
181,JOURNAL OF POROUS MEDIA,782,1.490,0.000930,0.174
182,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,"12,980",1.479,0.005950,0.449
183,ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,"2,940",1.467,0.002800,0.469
184,FUSION ENGINEERING AND DESIGN,"8,743",1.457,0.013890,0.320
185,RADIATION MEASUREMENTS,"6,716",1.435,0.005280,0.384
186,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,"26,349",1.433,0.027080,0.384
187,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,"12,399",1.428,0.010290,0.344
188,SHOCK WAVES,"1,761",1.424,0.001700,0.426
189,Chinese Journal of Mechanical Engineering,"1,442",1.413,0.002480,0.266
190,FUSION SCIENCE AND TECHNOLOGY,"2,152",1.406,0.004030,0.332
191,INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,796,1.384,0.001130,0.528
192,ANNALS OF NUCLEAR ENERGY,"6,707",1.380,0.014960,0.437
193,JOURNAL OF AEROSPACE ENGINEERING,"1,547",1.373,0.002370,0.299
194,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,"4,331",1.359,0.005260,0.282
195,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,"3,162",1.354,0.000920,0.303
195,KOREA-AUSTRALIA RHEOLOGY JOURNAL,539,1.354,0.000590,0.273
197,International Journal of Spray and Combustion Dynamics,220,1.353,0.000410,0.327
198,APPLIED RADIATION AND ISOTOPES,"7,993",1.343,0.008390,0.314
199,RADIOCHIMICA ACTA,"2,703",1.339,0.001600,0.242
200,CRYOGENICS,"2,760",1.336,0.002520,0.351
201,JOURNAL OF RADIOLOGICAL PROTECTION,"1,142",1.327,0.001870,0.401
202,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,"1,009",1.317,0.000920,0.282
203,JOURNAL OF MECHANICS,722,1.304,0.000950,0.192
204,International Journal of Green Energy,"1,439",1.302,0.001900,0.242
205,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,"2,744",1.275,0.002730,0.309
206,ATOMIZATION AND SPRAYS,"1,410",1.262,0.001330,0.372
207,WIND AND STRUCTURES,951,1.256,0.001320,0.285
208,ENGINEERING COMPUTATIONS,"1,983",1.246,0.002090,0.296
208,JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,"3,860",1.246,0.004010,0.406
210,Journal of Mechanics of Materials and Structures,792,1.239,0.000700,0.354
211,Journal of Thermal Science,846,1.228,0.000890,0.178
212,Journal of Mechanical Science and Technology,"6,422",1.221,0.008650,0.230
213,NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,"1,542",1.216,0.001320,0.362
214,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,"3,809",1.210,0.002680,0.214
214,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,"17,647",1.210,0.018280,0.362
216,Science and Technology for the Built Environment,468,1.199,0.001340,0.324
217,INTERNATIONAL JOURNAL OF VEHICLE DESIGN,766,1.190,0.000870,0.254
217,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,"3,267",1.190,0.001930,0.304
219,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,"8,300",1.186,0.009470,0.193
220,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,632,1.146,0.000810,0.324
221,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,826,1.139,0.001040,0.203
222,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,"2,315",1.137,0.002620,0.320
