"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'CONSTRUCTION & BUILDING TECHNOLOGY','ENGINEERING, CIVIL','TRANSPORTATION SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
163,Structural Engineering International,611,0.608,0.000600,0.158
164,Gradevinar,318,0.493,0.000410,0.092
165,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,384,0.484,0.000230,0.238
166,Cement Wapno Beton,197,0.476,0.000140,0.056
167,Revista de la Construccion,149,0.468,0.000130,0.060
168,CIVIL ENGINEERING,369,0.464,0.000350,0.115
169,International Journal of Heavy Vehicle Systems,160,0.450,0.000120,0.094
170,Journal of Asian Architecture and Building Engineering,378,0.417,0.000270,0.052
171,Journal of the South African Institution of Civil Engineering,126,0.404,0.000190,0.105
171,Stahlbau,494,0.404,0.000400,0.057
173,Informes de la Construccion,331,0.306,0.000250,0.059
174,Tecnologia y Ciencias del Agua,135,0.290,0.000200,0.046
175,Bautechnik,315,0.249,0.000600,0.099
176,NAVAL ENGINEERS JOURNAL,296,0.246,0.000150,0.073
177,GEFAHRSTOFFE REINHALTUNG DER LUFT,174,0.241,0.000160,0.040
178,Bauphysik,132,0.233,0.000140,0.051
179,ASHRAE JOURNAL,793,0.209,0.000300,0.052
180,Teknik Dergi,65,0.196,0.000060,0.050
181,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,289,0.155,0.000160,0.050
182,ZKG INTERNATIONAL,124,0.101,0.000090,0.023
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
